trial_id,condition,image_A,image_B,visual_A,visual_B,graph_A,graph_B,visual_similarity_score,graph_similarity_score,screening_score,is_practice
hdbscan_best_VpSp_0112,VpSp,KG_11_Haji Lane_A_16_facade.jpg,KG_28_North Bridge Rd_B_46_facade.jpg,19,19,1,1,0.9983,0.9974,50,False
hdbscan_best_VnSp_0368,VnSp,CT_26_KEONG_SAIK_B_Rd_12_facade.jpg,KG_04_Arab St_B_35_facade.jpg,23,15,27,27,0.9898,0.9686,50,False
hdbscan_best_VpSp_0106,VpSp,LD_11_DALHOUSIE LANE_A_07_facade.jpg,KG_11_Haji Lane_A_13_facade.jpg,30,30,2,2,0.9992,0.9884,50,False
hdbscan_best_VnSn_0594,VnSn,LD_45_UPPER_WELD_Rd_A_39_facade.jpg,KG_12_Haji Lane_B_05_facade.jpg,29,24,4,1,0.9897,0.1721,100,False
hdbscan_best_VnSp_0369,VnSp,KG_10_Bussorsh St_B_8_facade.jpg,LD_38_Serangoon Rd_A_18_facade.jpg,30,28,2,2,0.9907,0.9884,50,False
hdbscan_best_VnSn_0584,VnSn,CT_43_SMITH_B_St_04_facade.jpg,L35_facade.jpg,23,2,19,1,0.9015,-0.2724,50,False
hdbscan_best_VnSn_0463,VnSn,CT_14_CLUB_B_St_07_facade.jpg,CT_25_KEONG_SAIK_A_Rd_27_facade.jpg,25,8,2,21,0.978,-0.5305,100,False
hdbscan_best_VnSn_0528,VnSn,LD_18_DUNLOP_St_B_32_facade.jpg,CT_28_KRETA_AYER_Rd_16_facade.jpg,27,14,6,27,0.9388,-0.378,100,False
hdbscan_best_VpSp_0060,VpSp,KG_03_Arab St_A_51_facade.jpg,LD_16_ DICKSON_Rd_B_02_facade.jpg,2,2,6,6,1.0,0.8967,50,False
hdbscan_best_VpSn_0260,VpSn,KG_11_Haji Lane_A_14_facade.jpg,LD_14_DESKER_Rd_B_10_facade.jpg,24,24,2,6,0.9979,0.3639,100,False
hdbscan_best_VpSp_0009,VpSp,CT_54_TEMPLE_A_St_08_facade.jpg,CT_17_CRAIG_Rd_B_10_facade.jpg,13,13,19,19,0.9999,0.7391,100,False
hdbscan_best_VnSp_0340,VnSp,LD_18_DUNLOP_St_B_36_facade.jpg,LD_37_ROWELL_Rd_B_37_facade.jpg,28,12,6,6,0.991,0.6894,100,False
hdbscan_best_VpSp_0148,VpSp,CT_39_PAGODA_B_St_14_facade.jpg,CT_54_TEMPLE_A_St_29_facade.jpg,22,22,27,27,1.0,0.9726,50,False
hdbscan_best_VnSn_0459,VnSn,KG_28_North Bridge Rd_B_54_facade.jpg,CT_51_TELOK_AYER_B_St_26_facade.jpg,12,23,9,19,0.9331,-0.1831,100,False
